latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
9.64401,-63.55651,337.7,0.54,0.42,2019-10-18,0600,N,nominal,1.0NRT,288.9,8.3,N
9.64316,-63.55157,327.6,0.54,0.42,2019-10-18,0600,N,nominal,1.0NRT,286.5,6.4,N
9.64571,-63.56635,308.8,0.54,0.42,2019-10-18,0600,N,nominal,1.0NRT,286.1,2.4,N
9.64486,-63.56144,313.8,0.54,0.42,2019-10-18,0600,N,nominal,1.0NRT,284.6,8.3,N
9.64268,-63.57188,306.5,0.54,0.42,2019-10-18,0600,N,nominal,1.0NRT,283.6,2.4,N
9.64183,-63.56697,304.4,0.54,0.42,2019-10-18,0600,N,nominal,1.0NRT,284.8,2.4,N
9.64098,-63.56206,307.6,0.54,0.42,2019-10-18,0600,N,nominal,1.0NRT,285.4,8.3,N
9.64013,-63.55713,312.1,0.54,0.42,2019-10-18,0600,N,nominal,1.0NRT,284,8.3,N
9.63927,-63.55219,314.3,0.54,0.42,2019-10-18,0600,N,nominal,1.0NRT,284.6,6.4,N
9.64038,-63.56411,302.4,0.54,0.42,2019-10-18,0600,N,nominal,1.0NRT,285.1,1.5,N
9.63874,-63.55424,304.8,0.54,0.42,2019-10-18,0600,N,nominal,1.0NRT,284.2,1.8,N
9.63792,-63.5493,302.2,0.54,0.42,2019-10-18,0600,N,nominal,1.0NRT,284.5,1.4,N
9.64629,-63.62364,303.4,0.54,0.42,2019-10-18,0600,N,nominal,1.0NRT,284.1,1.7,N
9.61943,-63.72346,337.4,0.53,0.42,2019-10-18,0600,N,nominal,1.0NRT,272.4,15.3,N
9.56362,-63.62817,329.5,0.54,0.42,2019-10-18,0600,N,nominal,1.0NRT,287.3,3.2,N
9.55975,-63.62883,320.4,0.54,0.42,2019-10-18,0600,N,nominal,1.0NRT,286.6,3.2,N
9.38723,-64.54752,307.5,0.48,0.4,2019-10-18,0600,N,nominal,1.0NRT,267.3,1,N
